index,ans
0,1
1,-1
2,-1
3,-1
4,0
5,-1
6,0
7,1
8,1
9,1
10,0
11,0
12,1
13,-1
14,1
15,0
16,1
17,0
18,1
19,0
20,-1
21,-1
22,-1
23,0
24,-1
25,1
26,1
27,-1
28,0
29,0
30,0
31,1
32,1
33,0
34,-1
35,1
36,1
37,0
38,-1
39,1
40,1
41,0
42,-1
43,-1
44,-1
45,0
46,1
47,-1
48,0
49,0
50,0
51,1
52,0
53,0
54,0
55,1
56,0
57,-1
58,0
59,1
60,0
61,-1
62,1
63,0
64,-1
65,1
66,1
67,0
68,1
69,1
70,-1
71,0
72,1
73,-1
74,-1
75,0
76,-1
77,-1
78,1
79,-1
80,-1
81,-1
82,0
83,-1
84,0
85,-1
86,-1
87,-1
88,1
89,1
90,0
91,1
92,-1
93,-1
94,0
95,0
96,-1
97,1
98,-1
99,-1
100,0
101,-1
102,0
103,-1
104,-1
105,0
106,1
107,0
108,1
109,1
110,-1
111,-1
112,-1
113,0
114,1
115,1
116,1
117,1
118,0
119,1
120,1
121,0
122,1
123,-1
124,-1
125,0
126,1
127,0
128,-1
129,0
130,-1
131,-1
132,-1
133,-1
134,0
135,0
136,1
137,0
138,0
139,0
140,1
141,-1
142,1
143,1
144,-1
145,0
146,1
147,1
148,1
149,1
150,0
151,-1
152,0
153,-1
154,0
155,-1
156,-1
157,0
158,-1
159,-1
160,-1
161,1
162,0
163,-1
164,0
165,1
166,0
167,0
168,-1
169,-1
170,1
171,0
172,0
173,-1
174,-1
175,1
176,0
177,-1
178,1
179,-1
180,1
181,-1
182,0
183,0
184,0
185,0
186,-1
187,-1
188,-1
189,0
190,-1
191,-1
192,0
193,-1
194,0
195,1
196,-1
197,1
198,-1
199,-1
200,-1
201,-1
202,0
203,1
204,-1
205,-1
206,0
207,1
208,-1
209,-1
210,0
211,0
212,1
213,-1
214,1
215,0
216,0
217,-1
218,1
219,0
220,0
